Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"PD3","OffPage","stm32_core","6","SCHEMATIC1","U8A.84","450","290","3C","[1,3]"
"PD3","OffPage","main","3","SCHEMATIC1","J2.18","210","330","4C","[1,6]"
"PD3","OffPage","camera","1","SCHEMATIC1","CAMERA1.16","550","310","3C","[3,6]"
"PD2","OffPage","stm32_core","6","SCHEMATIC1","U8A.83","450","280","3C","[3,8]"
"PD2","OffPage","main","3","SCHEMATIC1","J2.15","320","320","4C","[6,8]"
"PD2","OffPage","store","8","SCHEMATIC1","R15.1,T1.3","460","210","3C","[3,6]"
"PB7","OffPage","stm32_core","6","SCHEMATIC1","U8A.93","450","150","3D","[1,3]"
"PB7","OffPage","main","3","SCHEMATIC1","J2.25","320","370","4B","[1,6]"
"PB7","OffPage","camera","1","SCHEMATIC1","CAMERA1.7","550","220","3C","[3,6]"
"PD0","OffPage","stm32_core","6","SCHEMATIC1","U8A.81","450","260","3C","[2,3]"
"PD0","OffPage","main","3","SCHEMATIC1","J2.13","320","310","4C","[2,6]"
"PD0","OffPage","lcd","2","SCHEMATIC1","LCD1.14","690","240","2C","[3,6]"
"PB12","OffPage","stm32_core","6","SCHEMATIC1","U8A.51","450","210","3C","[3]"
"PB12","OffPage","main","3","SCHEMATIC1","J3.11","560","300","3C","[6]"
"PD1","OffPage","stm32_core","6","SCHEMATIC1","U8A.82","450","270","3C","[2,3]"
"PD1","OffPage","main","3","SCHEMATIC1","J2.16","210","320","4C","[2,6]"
"PD1","OffPage","lcd","2","SCHEMATIC1","LCD1.13","690","230","2C","[3,6]"
"PB14","OffPage","stm32_core","6","SCHEMATIC1","U8A.53","450","230","3C","[3]"
"PB14","OffPage","main","3","SCHEMATIC1","J3.9","560","290","3C","[6]"
"PB6","OffPage","stm32_core","6","SCHEMATIC1","U8A.92","450","140","3D","[3,8]"
"PB6","OffPage","main","3","SCHEMATIC1","J2.26","210","370","4B","[6,8]"
"PB6","OffPage","store","8","SCHEMATIC1","U7.1","180","240","5C","[3,6]"
"PB4","OffPage","stm32_core","6","SCHEMATIC1","U8A.90","450","120","3D","[3,8]"
"PB4","OffPage","main","3","SCHEMATIC1","J2.24","210","360","4B","[6,8]"
"PB4","OffPage","store","8","SCHEMATIC1","U6.2","180","110","5D","[3,6]"
"PB8","OffPage","stm32_core","6","SCHEMATIC1","U8A.95","450","170","3C","[2,3]"
"PB8","OffPage","main","3","SCHEMATIC1","J2.28","210","380","4B","[2,6]"
"PB8","OffPage","lcd","2","SCHEMATIC1","R23.2,TOUCH1.3","200","150","4D","[3,6]"
"PB9","OffPage","stm32_core","6","SCHEMATIC1","U8A.96","450","180","3C","[2,3]"
"PB9","OffPage","main","3","SCHEMATIC1","J2.27","320","380","4B","[2,6]"
"PB9","OffPage","lcd","2","SCHEMATIC1","R24.2,TOUCH1.2","200","140","4D","[3,6]"
"PB11","OffPage","stm32_core","6","SCHEMATIC1","U8A.47","450","200","3C","[1,3]"
"PB11","OffPage","main","3","SCHEMATIC1","J3.14","450","310","3C","[1,6]"
